timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733391206607,341,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-332,text,true,,3733,446,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,331,0,31
1733391207158,766,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-145,text,true,,1947,1073,400,400,http://bff.int-lt:3000/api/v2/station/geylang-pipitroad-blk91/reserve-car,759,0,19
1733391207557,695,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-359,text,true,,1963,1090,400,400,http://bff.int-lt:3000/api/v2/station/woodlands-woodlandscircle-blk747a-deck1a/reserve-car,687,0,19
1733391208233,909,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-376,text,true,,1939,1078,400,400,http://bff.int-lt:3000/api/v2/station/yishun-yishunringroad-blk781/reserve-car,904,0,25
1733391209246,744,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-231,text,true,,1961,1089,400,400,http://bff.int-lt:3000/api/v2/station/pasirris-pasirrisstreet51-blk526-deck1b/reserve-car,733,0,19
1733391209379,1016,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-113,text,true,,1983,1091,400,400,http://bff.int-lt:3000/api/v2/station/choachukang-choachukangave1-blk809-deck1a/reserve-car,1009,0,31
1733391209502,997,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-34,text,true,,1981,1086,400,400,http://bff.int-lt:3000/api/v2/station/bidadari-bidadariparkdrive-blk106-deck2a/reserve-car,990,0,51
1733391211302,304,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-261,text,true,,3733,446,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,295,0,10
1733391211036,884,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-185,text,true,,1967,1092,400,400,http://bff.int-lt:3000/api/v2/station/jurongwest-jurongweststreet64-blk684-deck1/reserve-car,876,0,23
1733391211725,740,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-388,text,true,,1931,1074,400,400,http://bff.int-lt:3000/api/v2/station/21-Kovan-Road-548192-001/reserve-car,733,0,18
1733391214248,724,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-70,text,true,,1967,1079,400,400,http://bff.int-lt:3000/api/v2/station/bukitmerah-redhillrd-blk73-deck1a/reserve-car,718,0,18
1733391214406,743,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-318,text,true,,1945,1081,400,400,http://bff.int-lt:3000/api/v2/station/tampines-tampinesavenue4-blk902/reserve-car,736,0,14
1733391217191,1003,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-215,text,true,,1963,1090,400,400,http://bff.int-lt:3000/api/v2/station/marineparade-marinecrescent-blk35a-deck2/reserve-car,993,0,57
1733391218259,745,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-271,text,true,,1961,1089,400,400,http://bff.int-lt:3000/api/v2/station/sembawang-sembawangclose-blk322a-deck3a/reserve-car,738,0,14
1733391219321,982,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-93,text,true,,1999,1095,400,400,http://bff.int-lt:3000/api/v2/station/central-146prinsepstreet-oppositeburlingtonsquare/reserve-car,974,0,15
1733391223335,298,BFF Login - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-75,text,true,,3722,445,400,400,http://bff.int-lt:3000/api/v1.5/auth/login,291,0,9
1733391224703,798,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-347,text,true,,1963,1090,400,400,http://bff.int-lt:3000/api/v2/station/westernwatercatchment-choachukangway-151/reserve-car,792,0,15
1733391228121,715,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-96,text,true,,1965,1078,400,400,http://bff.int-lt:3000/api/v2/station/central-259outramroadsengpohroad/reserve-car,709,0,30
1733391236267,1158,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-353,text,true,,1963,1090,400,400,http://bff.int-lt:3000/api/v2/station/woodlands-woodlanddrive50-blk892c-deck2a/reserve-car,1158,0,23
1733391238657,782,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-189,text,true,,1971,1094,400,400,http://bff.int-lt:3000/api/v2/station/jurongwest-jurongweststreet81-blk854a-deck1a/reserve-car,775,0,18
1733391240421,1116,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-314,text,true,,1933,1075,400,400,http://bff.int-lt:3000/api/v2/station/tampines-simeiroad-blk155/reserve-car,1116,0,59
